gid,cnn_intrsctn_pkey,latitude,longitude,intrsctn_trnsprtn_pkey,bike_trips_05_taz,bike_trips_05_taz_d,daily_ride_qrt,daily_ride_egt,ped_vol_ann,ped_vol_24h,walktrips_05_taz,walktrips_05_taz_d
"76","20146000",37.72723322810,-122.38568220300,"76","32","5065","6264","2827","292274","801","139","30726"
"77","20148000",37.72472911040,-122.38793049500,"77","32","5065","5959","1026","354136","970","139","30726"
"78","20149000",37.72766640160,-122.38810994500,"78","59","5065","11676","2072","299412","820","342","30726"
"79","20150000",37.72829372680,-122.38755070800,"79","32","5065","15999","2565","305370","837","139","30726"
"80","20151000",37.72704414700,-122.38867281200,"80","59","5065","13480","2360","388565","1065","342","30726"
"81","20152000",37.72641515000,-122.38923775400,"81","15","5065","16417","3209","379124","1039","132","30726"
"82","20153000",37.73016676380,-122.38585274000,"82","54","5065","18120","3032","183421","503","336","30726"
"83","20154000",37.72954271140,-122.38641847500,"83","56","5065","18318","2932","290553","796","265","30726"
"84","20155000",37.72891865580,-122.38698420200,"84","59","5065","17022","1563","284188","779","342","30726"
"85","20156000",37.73246639050,-122.38661870400,"85","138","5065","27535","9334","103075","282","1233","30726"
"86","20157000",37.73185747040,-122.38716651200,"86","54","5065","33356","10902","114656","314","336","30726"
"87","20158000",37.72998041570,-122.38885511700,"87","59","5065","38328","4864","320750","879","342","30726"
"88","20159000",37.73060610350,-122.38829225800,"88","54","5065","36618","6683","295463","809","336","30726"
"89","20160000",37.72935388560,-122.38941872100,"89","59","5065","40284","6980","316420","867","342","30726"
"90","20161000",37.73123178890,-122.38772939000,"90","54","5065","34526","8370","223069","611","336","30726"
"91","20162000",37.73306987700,-122.37764862400,"91","39","5065","10889","4012","182951","501","93","30726"
"92","20163000",37.73199660010,-122.37575821600,"92","186","5065","7610","2230","91811","252","654","30726"
"93","20164000",37.73361634470,-122.37697385500,"93","39","5065","10125","2288","63209","173","93","30726"
"94","20168000",37.73447938420,-122.37942086400,"94","39","5065","13192","4896","116122","318","93","30726"
"95","20170000",37.73524467410,-122.37941456800,"95","127","5065","13538","5588","114632","314","632","30726"
"96","20172000",37.73627245550,-122.37941451400,"96","127","5065","11465","4535","113351","311","632","30726"
"97","20175000",37.73408161700,-122.37943074400,"97","39","5065","13431","5827","116771","320","93","30726"
"98","20177000",37.73768029410,-122.37910964800,"98","127","5065","9818","4490","174637","478","632","30726"
"99","20178000",37.73922050950,-122.37772237000,"99","5","5065","6008","1125","293011","803","14","30726"
"100","20180000",37.73675961330,-122.37940991100,"100","127","5065","12077","4753","179457","492","632","30726"
"101","20181000",37.73876357620,-122.38094255300,"101","84","5065","17822","5979","236220","647","209","30726"
"102","20182000",37.73812291600,-122.38155774100,"102","131","5065","10604","3683","86207","236","670","30726"
"103","20185000",37.73460320480,-122.38296200200,"103","127","5065","16972","4100","93086","255","632","30726"
"104","20188000",37.73363179400,-122.38227934900,"104","131","5065","17359","4502","261871","717","670","30726"
"105","20189000",37.73497690330,-122.38313398400,"105","127","5065","15966","2960","163684","448","632","30726"
"106","20191000",37.73580325340,-122.38342544500,"106","131","5065","18074","1694","92812","254","670","30726"
"107","20193000",37.73660452800,-122.38363786100,"107","131","5065","16034","1695","133677","366","670","30726"
"108","20196000",37.73307082120,-122.38500153900,"108","138","5065","17382","7183","180641","495","1233","30726"
"109","20197000",37.73310347850,-122.38604554100,"109","138","5065","24147","9451","102412","281","1233","30726"
"110","20198000",37.73566160810,-122.38717561600,"110","131","5065","44709","5274","137239","376","670","30726"
"111","20200000",37.73660112860,-122.38571301000,"111","131","5065","25042","1467","52608","144","670","30726"
"112","20201000",37.73751421640,-122.38404650900,"112","131","5065","19263","2232","210629","577","670","30726"
"113","20203000",37.74089751650,-122.38470554000,"113","84","5065","29383","7953","971363","2661","209","30726"
"114","20204000",37.74024001590,-122.38528165600,"114","53","5065","32768","8208","342645","939","271","30726"
"115","20205000",37.73482338220,-122.38738174300,"115","47","5065","41582","4916","113590","311","213","30726"
"116","20207000",37.73671972340,-122.38656998100,"116","131","5065","30705","964","122451","335","670","30726"
"117","20208000",37.73417046400,-122.38790963400,"117","47","5065","44508","10796","199695","547","213","30726"
"118","20209000",37.73353395990,-122.38848199500,"118","47","5065","47715","11506","266965","731","213","30726"
"119","20210000",37.73291889540,-122.38903506800,"119","34","5065","49218","20188","269649","739","240","30726"
"120","20211000",37.73648282130,-122.38865297100,"120","131","5065","46621","13190","167845","460","670","30726"
"121","20212000",37.73585632430,-122.38921984700,"121","47","5065","47579","15449","271049","743","213","30726"
"122","20213000",37.73639019480,-122.39014505100,"122","80","5065","50420","18142","3324414","9108","431","30726"
"123","20215000",37.73898305070,-122.38639890600,"123","131","5065","32527","6622","139569","382","670","30726"
"124","20216000",37.73835882320,-122.38696169200,"124","53","5065","33226","7620","142737","391","271","30726"
"125","20218000",37.73773065830,-122.38752801500,"125","53","5065","32990","11881","233266","639","271","30726"
"126","20219000",37.73874192970,-122.38931005600,"126","53","5065","35191","19324","226632","621","271","30726"
"127","20220000",37.73960901690,-122.38583453900,"127","53","5065","32477","7539","263652","722","271","30726"
"128","20222000",37.73710637700,-122.38809082600,"128","131","5065","34282","12364","180016","493","670","30726"
"129","20223000",37.73795539570,-122.38958738100,"129","53","5065","38106","19013","740606","2029","271","30726"
"7733","35057000",37.72775253940,-122.42331914600,"7733",,,,,,,,
"130","20224000",37.73716953190,-122.38986446200,"130","80","5065","49408","16840","692798","1898","431","30726"
"131","20225000",37.74067170110,-122.38770753200,"131","53","5065","32924","17361","253605","695","271","30726"
"132","20226000",37.74004455330,-122.38827307700,"132","53","5065","36876","18082","260474","714","271","30726"
"133","20227000",37.74031726350,-122.38875458900,"133","23","5065","37943","17923","1311501","3593","105","30726"
"134","20228000",37.73942193950,-122.38883452200,"134","53","5065","36752","16507","221087","606","271","30726"
"135","20229000",37.73953344790,-122.38903096700,"135","53","5065","38254","17176","1122710","3076","271","30726"
"136","20230000",37.73911266130,-122.38911341000,"136","53","5065","36297","17645","357850","980","271","30726"
"137","20231000",37.74110763190,-122.38847589400,"137","53","5065","34446","17808","1053745","2887","271","30726"
"138","20232000",37.74237875190,-122.38385037500,"138","25","5065","23685","5331","352422","966","309","30726"
"139","20234000",37.74507044020,-122.38712852200,"139","18","5065","22705","9791","999996","2740","63","30726"
"140","20236000",37.74195024130,-122.38655454200,"140","53","5065","34244","13644","295154","809","271","30726"
"141","20237000",37.74129736680,-122.38714331200,"141","53","5065","31690","18616","361194","990","271","30726"
"142","20238000",37.74188906310,-122.38820034400,"142","23","5065","36004","17080","1128566","3092","105","30726"
"143","20239000",37.74270315490,-122.38792635200,"143","23","5065","37588","13419","921784","2525","105","30726"
"144","20240000",37.74425940700,-122.38737260800,"144","18","5065","25805","14813","314324","861","63","30726"
"145","20241000",37.74298061760,-122.38845503000,"145","18","5065","33058","11688","1105445","3029","63","30726"
"146","20242000",37.74235738420,-122.38901641900,"146","23","5065","33946","13940","349161","957","105","30726"
"147","20243000",37.74172956580,-122.38958103300,"147","23","5065","31695","14226","354531","971","105","30726"
"148","20244000",37.74352792770,-122.38762945400,"148","25","5065","31115","11749","1005491","2755","309","30726"
"149","20245000",37.74406207960,-122.38750874600,"149","18","5065","27851","13384","314363","861","63","30726"
"150","20246000",37.74361017630,-122.38790040700,"150","18","5065","29420","11228","314646","862","63","30726"
"151","20247000",37.74615712740,-122.38717421800,"151","0","5065","20921","9865","908801","2490","0","30726"
"152","20250000",37.74900475870,-122.38745631100,"152","99","6757","23506","11420","900058","2466","300","41339"
"153","20252000",37.74529840940,-122.38919329900,"153","18","5065","21758","9525","378117","1036","63","30726"
"154","20257000",37.70909465760,-122.39268916200,"154","54","5065","175","65","256479","703","168","30726"
"155","20258000",37.70890382600,-122.39440306600,"155","54","5065","256","96","162233","444","168","30726"
"156","20259000",37.71116107730,-122.38645191100,"156","0","5065","789","20","192108","526","0","30726"
"157","20262000",37.71127214140,-122.39260902700,"157","54","5065","183","67","237005","649","168","30726"
"158","20263000",37.71102502530,-122.39482362500,"158","54","5065","319","126","114968","315","168","30726"
"159","20264000",37.71893208930,-122.39599491000,"159","42","5065","25359","5216","134428","368","146","30726"
"160","20267000",37.71004508210,-122.39683930300,"160","53","5065","350","177","225491","618","165","30726"
"161","20268000",37.71099414920,-122.39648139000,"161","47","5065","2252","185","118126","324","162","30726"
"162","20269000",37.71038802530,-122.39670997300,"162","53","5065","363","165","226655","621","165","30726"
"163","20271000",37.71119939540,-122.39734371900,"163","47","5065","10210","224","190378","522","162","30726"
"164","20272000",37.71025032600,-122.39770162100,"164","53","5065","4704","203","249678","684","165","30726"
"165","20273000",37.71045518410,-122.39856234900,"165","53","5065","17119","212","107714","295","165","30726"
"166","20274000",37.71140425520,-122.39820445600,"166","53","5065","27045","238","175169","480","165","30726"
"167","20281000",37.71065985830,-122.39942233300,"167","53","5065","34401","217","279265","765","165","30726"
"168","20282000",37.71160893170,-122.39906445100,"168","47","5065","41915","2808","122141","335","162","30726"
"169","20284000",37.71086498750,-122.40028426500,"169","53","5065","39976","2430","284440","779","165","30726"
"170","20285000",37.71181443780,-122.39992796000,"170","47","5065","48838","12450","199306","546","162","30726"
"171","20288000",37.71105017500,-122.40106242700,"171","53","5065","43171","11436","288162","789","165","30726"
"172","20289000",37.71201631400,-122.40078919300,"172","53","5065","52892","24369","269825","739","165","30726"
"173","20291000",37.71358404050,-122.40001669000,"173","47","5065","49507","26215","204991","562","162","30726"
"174","20295000",37.71539031790,-122.39954775400,"174","73","5065","44365","23799","245681","673","324","30726"
"175","20296000",37.71305797110,-122.40065802900,"175","73","5065","54450","36379","658257","1803","324","30726"
"176","20298000",37.71217948610,-122.40245947900,"176","73","5065","60713","32974","604258","1656","324","30726"
"177","20299000",37.71225086250,-122.40191474800,"177","53","5065","52888","29064","1057656","2898","165","30726"
"178","20300000",37.71473093870,-122.40044937100,"178","73","5065","53058","31760","67176","184","324","30726"
"179","20301000",37.71433712030,-122.40021154100,"179","73","5065","60061","38502","66856","183","324","30726"
"180","20302000",37.71511450710,-122.40060472500,"180","73","5065","49831","24889","208176","570","324","30726"
"181","20303000",37.71631730890,-122.40110452400,"181","73","5065","41804","16826","109177","299","324","30726"
"182","20304000",37.71606052540,-122.40209082800,"182","77","5065","50358","9626","76546","210","416","30726"
"183","20305000",37.71485596560,-122.40159547400,"183","73","5065","52696","18021","75620","207","324","30726"
"184","20306000",37.70885360630,-122.40510945400,"184","102","5065","36946","10778","1172791","3213","828","30726"
"185","20308000",37.71040921670,-122.40422603700,"185","53","5065","57447","18082","1026867","2813","165","30726"
"186","20310000",37.71257783500,-122.40523529400,"186","111","5065","67624","24008","261114","715","574","30726"
"187","20313000",37.71118857270,-122.40365010700,"187","111","5065","63706","29058","3396426","9305","574","30726"
"188","20314000",37.71193347240,-122.40563213100,"188","111","5065","67956","25850","1224879","3356","574","30726"
"189","20315000",37.71161058190,-122.40480341600,"189","111","5065","65368","24336","1202144","3294","574","30726"
"190","20316000",37.71068282710,-122.40520903900,"190","111","5065","61742","17704","328187","899","574","30726"
"191","20319000",37.71321573370,-122.40484243100,"191","111","5065","64051","17851","164748","451","574","30726"
"192","20320000",37.71271222610,-122.40211278700,"192","73","5065","56626","30607","191300","524","324","30726"
"193","20321000",37.71299484250,-122.40209790800,"193","73","5065","57778","30496","192560","528","324","30726"
"194","20322000",37.71383937440,-122.40445834200,"194","111","5065","64178","14217","71451","196","574","30726"
"195","20323000",37.71350820330,-122.40209579500,"195","73","5065","59262","33574","161016","441","324","30726"
"196","20324000",37.71464974380,-122.40256214800,"196","111","5065","57033","15624","20651","57","574","30726"
"197","20325000",37.71435723470,-122.40350661600,"197","77","5065","57449","17058","94413","259","416","30726"
"198","20328000",37.71555755800,-122.40256139200,"198","77","5065","55832","5921","163870","449","416","30726"
"199","20329000",37.71439552060,-122.40382283800,"199","77","5065","53999","12947","30695","84","416","30726"
"200","20330000",37.71496542100,-122.40320315200,"200","77","5065","54616","3524","165312","453","416","30726"
"201","20332000",37.71592951430,-122.40589505600,"201","77","5065","23100","2254","125474","344","416","30726"
"202","20333000",37.71524434500,-122.40618936700,"202","77","5065","28781","7096","184240","505","416","30726"
"203","20334000",37.71659202020,-122.40560927500,"203","77","5065","22728","2128","102326","280","416","30726"
"204","20338000",37.70916753290,-122.40622805200,"204","102","5065","34285","7872","377198","1033","828","30726"
"205","20340000",37.70909807380,-122.40598055100,"205","102","5065","43096","10790","341453","935","828","30726"
"206","20341000",37.70959004180,-122.40773363000,"206","102","5065","50220","15410","292274","801","828","30726"
"207","20342000",37.70934659350,-122.40686611300,"207","102","5065","43093","14710","316556","867","828","30726"
"208","20344000",37.71119011350,-122.40701331500,"208","111","5065","62355","22698","310979","852","574","30726"
"209","20345000",37.71095726650,-122.40618512800,"209","111","5065","61199","25370","335158","918","574","30726"
"210","20347000",37.71228274940,-122.40652859700,"210","111","5065","66981","26088","1140140","3124","574","30726"
"211","20348000",37.71170156150,-122.40882736300,"211","102","5065","55288","26974","351281","962","828","30726"
"212","20349000",37.71144776170,-122.40792714700,"212","102","5065","57393","21586","316899","868","828","30726"
"213","20352000",37.70984411020,-122.40863902700,"213","102","5065","50670","19693","325234","891","828","30726"
"214","20353000",37.71010920810,-122.40958375600,"214","102","5065","48151","20528","329783","904","828","30726"
"215","20355000",37.71281360900,-122.40833406000,"215","84","5065","53363","25685","356374","976","982","30726"
"216","20356000",37.71254738940,-122.40734778200,"216","111","5065","58958","22690","1158445","3174","574","30726"
"217","20357000",37.71322568340,-122.40705644400,"217","84","5065","56704","16205","297720","816","982","30726"
"218","20358000",37.71390066660,-122.40676652400,"218","111","5065","49029","13316","297501","815","574","30726"
"219","20359000",37.71379842680,-122.40919390300,"219","84","5065","47579","6161","149036","408","982","30726"
"220","20360000",37.71515567990,-122.40860338400,"220","84","5065","32872","1215","174508","478","982","30726"
"221","20361000",37.71457488840,-122.40647692500,"221","84","5065","42579","7486","223451","612","982","30726"
"222","20362000",37.71195230610,-122.40972836100,"222","84","5065","50294","25557","349526","958","982","30726"
"223","20363000",37.71312557170,-122.40948890300,"223","84","5065","46938","18104","149779","410","982","30726"
"224","20364000",37.71447895560,-122.40889553500,"224","84","5065","42340","4392","133966","367","982","30726"
"225","20365000",37.71583540530,-122.40831048100,"225","77","5065","17126","1544","81389","223","416","30726"
"226","20366000",37.71034975570,-122.41044102600,"226","102","5065","45763","19241","332979","912","828","30726"
"227","20368000",37.70964232760,-122.41351429900,"227","78","5065","38603","5932",,,"333","30726"
"228","20369000",37.70921035210,-122.41196819700,"228","78","5065","34499","6215","317089","869","333","30726"
"229","20370000",37.71086606200,-122.41228115000,"229","78","5065","54296","14252","336571","922","333","30726"
"230","20371000",37.71060452230,-122.41134900300,"230","78","5065","50192","18723","333921","915","333","30726"
"231","20372000",37.71220622220,-122.41064079500,"231","84","5065","52943","22306","261042","715","982","30726"
"232","20373000",37.70848387870,-122.41414540900,"232","78","5065","17272","5117","313546","859","333","30726"
"233","20375000",37.70861467840,-122.41223274600,"233","78","5065","21478","5919","340889","934","333","30726"
"234","20376000",37.71042610000,-122.41316181200,"234","78","5065","45581","7125","335694","920","333","30726"
"235","20377000",37.71103616850,-122.41288743900,"235","79","5065","52193","17383","373177","1022","405","30726"
"236","20378000",37.71246527470,-122.41157171500,"236","79","5065","57608","18040","235432","645","405","30726"
"237","20379000",37.71063119720,-122.41390251800,"237","75","5065","53901","3751","341726","936","437","30726"
"238","20380000",37.71330425540,-122.41015039300,"238","84","5065","50142","16634","260060","712","982","30726"
"239","20381000",37.71272485430,-122.41250456000,"239","79","5065","45476","22361","210956","578","405","30726"
"240","20382000",37.71355653310,-122.41108435400,"240","79","5065","52071","14600","232691","638","405","30726"
"241","20383000",37.71369702190,-122.41160447300,"241","84","5065","39539","14593","98573","270","982","30726"
"242","20384000",37.71380932230,-122.41202024300,"242","79","5065","39139","16825","208750","572","405","30726"
"243","20385000",37.71436695890,-122.41131582400,"243","79","5065","39252","4968","37926","104","405","30726"
"244","20386000",37.71505726490,-122.41102479400,"244","60","5065","34620","2190","37336","102","693","30726"
"245","20387000",37.71573853260,-122.41073757000,"245","60","5065","27924","82","165285","453","693","30726"
"246","20390000",37.71298621960,-122.41343885600,"246","79","5065","41477","21998","207603","569","405","30726"
"247","20392000",37.71406318440,-122.41296013700,"247","79","5065","37632","16480","201926","553","405","30726"
"248","20393000",37.71456599200,-122.41482182500,"248","79","5065","37804","12706","176896","485","405","30726"
"249","20394000",37.71431505520,-122.41389269300,"249","79","5065","38236","15735","136007","373","405","30726"
"250","20395000",37.71498664810,-122.41360092600,"250","79","5065","34554","3544","132808","364","405","30726"
"251","20400000",37.70866175420,-122.41477786300,"251","78","5065","18612","1910","318138","872","333","30726"
"252","20401000",37.70946589720,-122.41525752300,"252","78","5065","43066","18",,,"333","30726"
"253","20402000",37.70899533840,-122.41596400000,"253","78","5065","45521","995","327682","898","333","30726"
"254","20403000",37.70873803270,-122.41504908600,"254","78","5065","29426","925","320252","877","333","30726"
"255","20404000",37.70969486790,-122.41595591600,"255","75","5065","51910","4324","337535","925","437","30726"
"256","20405000",37.71005512820,-122.41499254400,"256","78","5065","60219","2379","371866","1019","333","30726"
"257","20406000",37.70995038150,-122.41688355000,"257","75","5065","49171","4989","346664","950","437","30726"
"258","20407000",37.71165503420,-122.41508054600,"258","75","5065","57430","23164","320260","877","437","30726"
"259","20408000",37.70984872320,-122.41425441300,"259","78","5065","52062","73","366826","1005","333","30726"
"260","20409000",37.71191455620,-122.41600028000,"260","36","5065","52741","24685","322355","883","283","30726"
"261","20410000",37.71324664090,-122.41436981200,"261","79","5065","44236","23644","226243","620","405","30726"
"262","20411000",37.70923281880,-122.41680844500,"262","75","5065","43666","3722","336375","922","437","30726"
"263","20412000",37.70947142980,-122.41765694300,"263","75","5065","41886","13216","286159","784","437","30726"
"264","20413000",37.70970883830,-122.41850119100,"264","65","5065","46059","16512","44387","122","343","30726"
"265","20414000",37.71047317400,-122.41664846100,"265","65","5065","54615","19188","290212","795","343","30726"
"266","20416000",37.71350427490,-122.41529083500,"266","60","5065","44495","21115","169852","465","693","30726"
"267","20421000",37.70831126620,-122.42008306600,"267","65","5065","36429","18108",,,"343","30726"
"268","20422000",37.70854867350,-122.42092650800,"268","65","5065","32576","16815","386848","1060","343","30726"
"269","20423000",37.71073194540,-122.41877184200,"269","44","5065","50967","25646","184092","504","324","30726"
"270","20424000",37.71018703940,-122.42020179900,"270","65","5065","45614","18534","102310","280","343","30726"
"271","20425000",37.70994690340,-122.41934779800,"271","65","5065","49377","22366","103176","283","343","30726"
"272","20426000",37.70991221190,-122.42032153800,"272","65","5065","42212","16929","214924","589","343","30726"
"273","20427000",37.70874305440,-122.42161732900,"273","65","5065","32993","18917","291511","799","343","30726"
"274","20428000",37.70892735740,-122.42226516200,"274","65","5065","35127","14450","238935","655","343","30726"
"275","20429000",37.71010380350,-122.42100292300,"275","65","5065","43897","21993","212664","583","343","30726"
"276","20430000",37.71028620340,-122.42165162700,"276","65","5065","45403","16024","209861","575","343","30726"
"277","20431000",37.71131669340,-122.42224083100,"277","44","5065","58778","18445","171344","469","324","30726"
"278","20432000",37.71193343190,-122.41876599500,"278","44","5065","51137","18060","198595","544","324","30726"
"279","20433000",37.71234914680,-122.41828342100,"279","36","5065","44914","21177","259994","712","283","30726"
"280","20434000",37.71692190550,-122.39072310500,"280","42","5065","4084","1012","50206","138","146","30726"
"281","20435000",37.71615627490,-122.39000172000,"281","42","5065","3188","1002","64888","178","146","30726"
"282","20436000",37.71868763360,-122.39056415400,"282","64","5065","7516","2360","149626","410","510","30726"
"283","20438000",37.71929846550,-122.39001968500,"283","64","5065","6461","3182","241208","661","510","30726"
"284","20439000",37.71804005330,-122.39114136600,"284","64","5065","4923","1684","69150","189","510","30726"
"285","20441000",37.71911364260,-122.39298153900,"285","64","5065","15123","3268","93827","257","510","30726"
"286","20442000",37.71858493070,-122.39204998300,"286","64","5065","7982","1845","112087","307","510","30726"
"287","20443000",37.72034909920,-122.39187034300,"287","64","5065","14750","3276","201421","552","510","30726"
"288","20444000",37.71973994940,-122.39241823100,"288","64","5065","16738","3451","200116","548","510","30726"
"289","20445000",37.71795865460,-122.39261325900,"289","64","5065","7811","956","110248","302","510","30726"
