unique_id,gc_switrs_col_pkey,cnn_intrsctn_fkey,cnn_sgmt_fkey,tb_latitude,tb_longitude,geocode_source,geocode_location,case_id_pkey,accident_year,proc_date,juris,collision_date,collision_time,time_cat,officer_id,reporting_district,day_of_week,chp_shift,population,cnty_city_loc,special_cond,beat_type,chp_beat_type,city_division_lapd,chp_beat_class,beat_number,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,state_hwy_ind,caltrans_county,caltrans_district,state_route,route_suffix,postmile_prefix,postmile,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_code_of_viol,pcf_viol_category,pcf_violation,pcf_viol_subsection,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,chp_road_type,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,not_private_property,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,count_mc_killed,count_mc_injured,primary_ramp,secondary_ramp,latitude_switrs,longitude_switrs,mv_involved,mv_only_one,col_comb,dph_col_type,dph_col_grp,street_view
"1351","1352",24524000,"5659000",37.7858918261035,-122.396262333903,SFPD-CROSSROADS,CITY STREET,"3893045","2008","20090406","3801","20080914","1105",B,"001278",SOUTH,Sunday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B61,FOLSOM ST,2ND ST,180,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Improper Turning,"22107",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7858918261035,-122.396262333903"
"1502","1503",27649000,"8031000",37.7858581243858,-122.482497151378,SFPD-CROSSROADS,CITY STREET,"4041431","2009","20090901","3801","20090117","1320",B,"1597",RICHM,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3G62,LAKE ST,22ND ST,164,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7858581243858,-122.482497151378"
"1585","1586",24121000,"1112000",37.7569362022363,-122.42054943244,SFPD-CROSSROADS,CITY STREET,"4197124","2009","20091106","3801","20090307","1014",B,"2299",COD,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3D13A,21ST ST,VALENCIA ST,165,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","1",Unknown,Not Stated,Unknown,"0",,Not Hit and Run,Other,Non-Collision,No Pedestrian Involved,Dry,Other,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,Not Stated or Unknown (Hit and Run),"0","0","1","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7569362022363,-122.42054943244"
"1654","1655",25209000,"10565000",37.7878114307766,-122.420127166487,SFPD-CROSSROADS,CITY STREET,"4254864","2009","20100106","3801","20090529","854",A,"000094",NORTH,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3E61K,POLK ST,SUTTER ST,20,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7878114307766,-122.420127166487"
"1675","1676",26825000,"3459000",37.785592359842,-122.444676508231,SFPD-CROSSROADS,CITY STREET,"4268426","2009","20100226","3801","20090608","1324",B,"2109",RICHM,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3G11C,BUSH ST,LYON ST,100,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Severe),"0","1","2",(Vehicle) Code Violation,Not Stated,Not Stated,"0",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"1","0","0","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.785592359842,-122.444676508231"
"1697","1698",24583000,"5662000",37.7833998398941,-122.399417952835,SFPD-CROSSROADS,CITY STREET,"4280965","2009","20100206","3801","20090613","1145",B,"1957",SOUTH,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B1C,FOLSOM ST,3RD ST,199,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Not Stated,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7833998398941,-122.399417952835"
"1865","1866",24280000,"332000",37.7796604189128,-122.40706119452,SFPD-CROSSROADS,CITY STREET,"4427210","2009","20100622","3801","20091006","1704",C,"000436",SOUTH,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B3D,6TH ST,HOWARD ST,40,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Lane Change,"21658",A,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,Yes,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7796604189128,-122.40706119452"
"46","46",24206000,,37.7715786773086,-122.411277936994,SFPD-CROSSROADS,CITY STREET,"1995268","2005","20050705","3801","20050228","1116",B,"1870",,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B62,HARRISON ST,10TH ST,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Traffic Signals and Signs,"21453",A,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,"Passenger Car, Station Wagon, or Jeep","0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7715786773086,-122.411277936994"
"2621","2623",23416000,"1776000",37.7499462242876,-122.493371726093,SFPD-CROSSROADS,CITY STREET,"5071089","2011","20120309","3801","20110115","1634",C,"2223",TARAV,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3I15D,35TH AV,PACHECO ST,70,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Head-On,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7499462242876,-122.493371726093"
"2655","2657",24621000,"9540000",37.7886619820952,-122.40199294674,SFPD-CROSSROADS,CITY STREET,"5097559","2011","20120414","3801","20110228","1430",C,A11164,SOUTH,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B1C,NEW MONTGOMERY ST,MARKET ST,30,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7886619820952,-122.40199294674"
"2704","2706",24187000,"2136000",37.7683577660574,-122.407746358105,SFPD-CROSSROADS,CITY STREET,"5127681","2011","20120425","3801","20110323","1345",B,"1887",MISSI,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B7B,ALAMEDA ST,POTRERO AV,19,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,Other,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7683577660574,-122.407746358105"
"2780","2782",22886000,"10074201",37.7453105007436,-122.461126419284,SFPD-CROSSROADS,CITY STREET,"5189928","2011","20120731","3801","20110606","15",E,"659",,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3I00,PACHECO ST,DEWEY BL,119,South,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Fatal,"1","0","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Non-Collision,No Pedestrian Involved,Dry,Reduced Roadway Width,No Unusual Condition,Dark - Street Lights,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","0","0","0","1","0","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7453105007436,-122.461126419284"
"2810","2812",51011000,"3652201",37.7088740998582,-122.430400285494,SFPD-CROSSROADS,CITY STREET,"5205339","2011","20130117","3801","20110505","1903",D,"001876",,Thursday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",,CANYON DR,SOUTH HILL,155,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Felony,Head-On,Bicycle,No Pedestrian Involved,Dry,Other,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,Sport Utility Vehicle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7088740998582,-122.430400285494"
"2824","2826",23725000,"7737000",37.7535826581413,-122.402469061294,SFPD-CROSSROADS,CITY STREET,"5208154","2011","20120809","3801","20110520","1900",D,"665",,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B5H,KANSAS ST,24TH ST,127,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Other Object,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7535826581413,-122.402469061294"
"2831","2833",25317000,"10576000",37.796038449042,-122.421786958816,SFPD-CROSSROADS,CITY STREET,"5209307","2011","20121001","3801","20110611","1150",B,"1947",NORTH,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3E11A,POLK ST,BROADWAY ST,34,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.796038449042,-122.421786958816"
"2880","2882",24388000,"12015201",37.7734394839801,-122.418810028173,SFPD-CROSSROADS,CITY STREET,"5271749","2011","20121128","3801","20110705","1417",C,"1755",,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3B4C,S VAN NESS AV,MISSION ST,150,North,Not Intersection,Clear,Not Stated,State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7734394839801,-122.418810028173"
"3366","3368",26077000,,37.7796596303491,-122.438740183526,SFPD-CROSSROADS,CITY STREET,"5734812","2012","20130907","3801","20120501","1757",C,"0797",,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3G11D,TURK BL,2350 TURK BL,0,"Not Stated, in Intersection",Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Head-On,Fixed Object,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7796596303491,-122.438740183526"
"3526","3528",32920000,"900000",37.7600451322988,-122.443898662299,SFPD-CROSSROADS,CITY STREET,"6059071","2012","20131220","3801","20121023","2100",D,"2175",D,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3D66",18TH ST,DANVERS ST,194,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7600451322988,-122.443898662299"
"85","85",24557000,"9085000",37.7917319876632,-122.395079716289,SFPD-CROSSROADS,CITY STREET,"2022667","2005","20050815","3801","20050513","1706",C,"000520",SOUTH,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B7B,MISSION ST,MAIN ST,57,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Improper Passing,"21750",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Passenger Car/Station Wagon,"Passenger Car, Station Wagon, or Jeep","0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7917319876632,-122.395079716289"
